Imported table
"Column 1"
"Producent"
"mecalux"
"Stow"
"WDX"
"SSI"
"Schofer"
"Promag"
"MGL"
"Esmena"
"Esnova"
"Nedcon"
"Proman"
"Dexion"
"Bito"
"JUNGEINRIVH TYP B"
"MAGAZYN"
